0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.000008,0.031178,0.062322,0.093405,0.124394,0.155257,0.185965,0.216485,0.246788,0.276842,0.306618,0.336086,0.365215,0.393977,0.422343,0.450284,0.477772,0.504780,0.531279,0.557244,0.582649,0.607468,0.631675,0.655248,0.678161,0.700392,0.721918,0.742718,0.762771,0.782057,0.800556,0.818250,0.835121,0.851152,0.866327,0.880630,0.894047,0.906565,0.918172,0.928854,0.938602,0.947406,0.955258,0.962148,0.968070,0.973019,0.976989,0.979976,0.981977,0.982991,0.983016,0.982052,0.980100,0.977162,0.973242,0.968342,0.962468,0.955627,0.947824,0.939067,0.929366,0.918730,0.907170,0.894697,0.881325,0.867066,0.851935,0.835946,0.819117,0.801464,0.783005,0.763758,0.743743,0.722980,0.701490,0.679293,0.656414,0.632874,0.608698,0.583910,0.558534,0.532596,0.506123,0.479140,0.451675,0.423757,0.395411,0.366669,0.337557,0.308106,0.278344,0.248303,0.218012,0.187502,0.156803,0.125947,0.094964,0.063885,0.032743,0.001574
0.000008,0.031147,0.062260,0.093311,0.124269,0.155102,0.185779,0.216269,0.246541,0.276565,0.306312,0.335750,0.364850,0.393583,0.421921,0.449834,0.477294,0.504274,0.530748,0.556687,0.582066,0.606860,0.631043,0.654592,0.677482,0.699691,0.721196,0.741975,0.762008,0.781275,0.799756,0.817432,0.834286,0.850301,0.865460,0.879749,0.893153,0.905658,0.917253,0.927925,0.937663,0.946459,0.954302,0.961185,0.967102,0.972045,0.976011,0.978995,0.980995,0.982007,0.982032,0.981069,0.979119,0.976185,0.972268,0.967373,0.961505,0.954670,0.946875,0.938128,0.928436,0.917811,0.906262,0.893802,0.880443,0.866198,0.851082,0.835110,0.818298,0.800662,0.782222,0.762994,0.742999,0.722257,0.700788,0.678614,0.655757,0.632241,0.608089,0.583325,0.557975,0.532063,0.505616,0.478661,0.451224,0.423333,0.395016,0.366302,0.337219,0.307797,0.278066,0.248055,0.217794,0.187315,0.156646,0.125821,0.094869,0.063821,0.032710,0.001573
0.000008,0.031116,0.062198,0.093218,0.124145,0.154947,0.185593,0.216052,0.246294,0.276289,0.306005,0.335414,0.364485,0.393189,0.421498,0.449384,0.476817,0.503770,0.530217,0.556130,0.581484,0.606253,0.630412,0.653937,0.676804,0.698991,0.720474,0.741233,0.761246,0.780493,0.798955,0.816614,0.833451,0.849450,0.864594,0.878869,0.892259,0.904752,0.916335,0.926996,0.936725,0.945512,0.953347,0.960224,0.966134,0.971073,0.975035,0.978016,0.980013,0.981025,0.981050,0.980088,0.978140,0.975208,0.971295,0.966405,0.960543,0.953715,0.945928,0.937189,0.927507,0.916893,0.905356,0.892908,0.879562,0.865332,0.850231,0.834275,0.817479,0.799861,0.781439,0.762231,0.742256,0.721534,0.700087,0.677935,0.655101,0.631609,0.607481,0.582742,0.557417,0.531531,0.505110,0.478182,0.450772,0.422909,0.394621,0.365935,0.336882,0.307489,0.277788,0.247807,0.217576,0.187127,0.156490,0.125695,0.094774,0.063757,0.032677,0.001571
0.000009,0.031085,0.062135,0.093125,0.124021,0.154792,0.185407,0.215836,0.246048,0.276012,0.305699,0.335078,0.364120,0.392796,0.421077,0.448934,0.476340,0.503266,0.529686,0.555574,0.580902,0.605646,0.629781,0.653283,0.676127,0.698292,0.719753,0.740491,0.760484,0.779712,0.798156,0.815797,0.832617,0.848600,0.863729,0.877989,0.891367,0.903847,0.915418,0.926069,0.935788,0.944566,0.952393,0.959263,0.965168,0.970101,0.974059,0.977038,0.979033,0.980043,0.980068,0.979107,0.977161,0.974232,0.970323,0.965439,0.959583,0.952761,0.944982,0.936251,0.926579,0.915975,0.904450,0.892015,0.878682,0.864466,0.849380,0.833440,0.816661,0.799061,0.780657,0.761468,0.741513,0.720812,0.699386,0.677257,0.654446,0.630977,0.606873,0.582159,0.556859,0.530999,0.504605,0.477703,0.450321,0.422486,0.394226,0.365569,0.336545,0.307182,0.277510,0.247559,0.217359,0.186940,0.156333,0.125569,0.094679,0.063693,0.032645,0.001570
0.000009,0.031054,0.062073,0.093032,0.123897,0.154637,0.185222,0.215620,0.245802,0.275736,0.305393,0.334743,0.363756,0.392403,0.420656,0.448485,0.475863,0.502762,0.529156,0.555018,0.580321,0.605040,0.629151,0.652629,0.675451,0.697593,0.719033,0.739750,0.759723,0.778932,0.797358,0.814981,0.831784,0.847751,0.862865,0.877111,0.890475,0.902943,0.914503,0.925143,0.934852,0.943621,0.951441,0.958303,0.964202,0.969131,0.973085,0.976060,0.978053,0.979063,0.979088,0.978128,0.976184,0.973258,0.969353,0.964473,0.958622,0.951808,0.944036,0.935315,0.925652,0.915059,0.903545,0.891122,0.877803,0.863601,0.848530,0.832606,0.815844,0.798262,0.779876,0.760706,0.740771,0.720091,0.698687,0.676579,0.653791,0.630346,0.606266,0.581576,0.556302,0.530468,0.504100,0.477225,0.449871,0.422063,0.393831,0.365203,0.336208,0.306874,0.277232,0.247311,0.217141,0.186753,0.156177,0.125444,0.094584,0.063630,0.032612,0.001568
0.000009,0.031023,0.062011,0.092939,0.123773,0.154482,0.185036,0.215405,0.245556,0.275460,0.305088,0.334408,0.363392,0.392010,0.420235,0.448036,0.475387,0.502259,0.528627,0.554462,0.579740,0.604435,0.628522,0.651976,0.674775,0.696895,0.718314,0.739010,0.758963,0.778153,0.796560,0.814165,0.830952,0.846903,0.862002,0.876234,0.889584,0.902040,0.913588,0.924217,0.933917,0.942677,0.950489,0.957344,0.963237,0.968161,0.972111,0.975084,0.977075,0.978083,0.978108,0.977149,0.975207,0.972284,0.968383,0.963508,0.957663,0.950856,0.943092,0.934379,0.924726,0.914144,0.902641,0.890231,0.876925,0.862737,0.847682,0.831773,0.815028,0.797463,0.779096,0.759945,0.740030,0.719371,0.697988,0.675902,0.653137,0.629715,0.605659,0.580995,0.555745,0.529937,0.503596,0.476748,0.449421,0.421641,0.393437,0.364838,0.335872,0.306567,0.276955,0.247064,0.216924,0.186566,0.156021,0.125318,0.094489,0.063566,0.032580,0.001567
0.000009,0.030992,0.061949,0.092846,0.123649,0.154328,0.184851,0.215189,0.245310,0.275185,0.304782,0.334073,0.363028,0.391618,0.419814,0.447588,0.474911,0.501757,0.528098,0.553908,0.579160,0.603830,0.627893,0.651324,0.674100,0.696198,0.717595,0.738271,0.758204,0.777374,0.795763,0.813351,0.830121,0.846056,0.861139,0.875357,0.888694,0.901137,0.912674,0.923292,0.932982,0.941734,0.949538,0.956387,0.962274,0.967193,0.971139,0.974108,0.976097,0.977105,0.977130,0.976171,0.974231,0.971311,0.967414,0.962544,0.956705,0.949904,0.942148,0.933444,0.923801,0.913229,0.901738,0.889340,0.876048,0.861874,0.846833,0.830941,0.814213,0.796665,0.778317,0.759185,0.739290,0.718651,0.697289,0.675226,0.652484,0.629085,0.605053,0.580413,0.555189,0.529407,0.503092,0.476271,0.448971,0.421219,0.393044,0.364473,0.335536,0.306261,0.276678,0.246817,0.216707,0.186379,0.155864,0.125193,0.094395,0.063502,0.032547,0.001566
0.000009,0.030961,0.061887,0.092753,0.123525,0.154173,0.184666,0.214974,0.245065,0.274909,0.304477,0.333739,0.362665,0.391226,0.419394,0.447140,0.474436,0.501255,0.527570,0.553354,0.578581,0.603226,0.627265,0.650673,0.673426,0.695501,0.716877,0.737532,0.757446,0.776597,0.794967,0.812537,0.829290,0.845209,0.860278,0.874481,0.887805,0.900236,0.911761,0.922369,0.932049,0.940791,0.948588,0.955430,0.961311,0.966225,0.970167,0.973133,0.975121,0.976127,0.976152,0.975195,0.973257,0.970339,0.966446,0.961581,0.955748,0.948954,0.941206,0.932510,0.922877,0.912315,0.900836,0.888450,0.875171,0.861012,0.845986,0.830110,0.813398,0.795868,0.777538,0.758426,0.738550,0.717932,0.696592,0.674551,0.651831,0.628456,0.604448,0.579833,0.554634,0.528877,0.502589,0.475795,0.448522,0.420798,0.392651,0.364108,0.335200,0.305954,0.276401,0.246570,0.216490,0.186193,0.155709,0.125067,0.094301,0.063439,0.032515,0.001564
0.000009,0.030930,0.061825,0.092660,0.123402,0.154019,0.184482,0.214759,0.244820,0.274634,0.304173,0.333405,0.362302,0.390835,0.418975,0.446693,0.473962,0.500754,0.527042,0.552800,0.578002,0.602623,0.626637,0.650022,0.672752,0.694805,0.716160,0.736795,0.756688,0.775820,0.794171,0.811724,0.828461,0.844364,0.859417,0.873606,0.886917,0.899335,0.910848,0.921446,0.931116,0.939850,0.947639,0.954474,0.960349,0.965258,0.969197,0.972160,0.974145,0.975151,0.975175,0.974219,0.972283,0.969369,0.965479,0.960619,0.954792,0.948005,0.940264,0.931577,0.921954,0.911403,0.899935,0.887562,0.874296,0.860150,0.845140,0.829279,0.812584,0.795072,0.776760,0.757667,0.737811,0.717214,0.695895,0.673876,0.651179,0.627827,0.603843,0.579253,0.554079,0.528348,0.502086,0.475319,0.448073,0.420377,0.392258,0.363744,0.334865,0.305648,0.276124,0.246323,0.216274,0.186007,0.155553,0.124942,0.094206,0.063375,0.032483,0.001563
0.000010,0.030899,0.061763,0.092567,0.123278,0.153865,0.184297,0.214544,0.244575,0.274360,0.303868,0.333072,0.361940,0.390444,0.418555,0.446246,0.473487,0.500253,0.526515,0.552247,0.577424,0.602020,0.626010,0.649371,0.672079,0.694110,0.715444,0.736057,0.755931,0.775044,0.793377,0.810912,0.827632,0.843519,0.858557,0.872732,0.886029,0.898435,0.909937,0.920524,0.930185,0.938910,0.946691,0.953519,0.959388,0.964293,0.968227,0.971187,0.973171,0.974175,0.974200,0.973245,0.971310,0.968399,0.964513,0.959658,0.953837,0.947056,0.939323,0.930645,0.921031,0.910491,0.899034,0.886674,0.873421,0.859290,0.844294,0.828450,0.811771,0.794277,0.775983,0.756909,0.737073,0.716496,0.695199,0.673201,0.650527,0.627199,0.603239,0.578673,0.553525,0.527820,0.501584,0.474843,0.447625,0.419956,0.391865,0.363380,0.334530,0.305343,0.275848,0.246076,0.216057,0.185821,0.155397,0.124817,0.094112,0.063312,0.032450,0.001562
